instruction;input;output
Buatkan komentar positif untuk foto pemandangan pantai saat sunset;Foto panorama pantai dengan ombak tenang, langit senja berwarna oranye keemasan, dan siluet pohon kelapa di kejauhan. Suasana sangat damai dan syahdu, menciptakan pemandangan yang memukau;Indahnya sunset di pantai ini, bikin hati adem banget! 😍🌅
Tulis komentar negatif terhadap berita yang mengandung unsur provokasi dan hoaks tentang vaksin;Sebuah akun media sosial menyebarkan berita bohong tentang efek samping vaksin COVID-19 yang sangat berbahaya, menyebabkan kepanikan di masyarakat dan membuat sebagian orang takut divaksin. Informasi ini sudah dibantah oleh ahli kesehatan;Berita hoax lagi, jangan asal percaya sama info gak jelas tentang vaksin! 😡💉
Berikan komentar netral pada postingan tentang rekomendasi film untuk keluarga;Seorang kritikus film membagikan daftar 5 film keluarga yang cocok ditonton bersama anak-anak di akhir pekan, lengkap dengan sinopsis singkat dan pesan moralnya. Rekomendasi ini mencakup berbagai genre;Rekomendasi film keluarga ini lumayan banyak ya, bisa jadi ide tontonan weekend.
Buat komentar positif untuk pencapaian atlet paralimpiade Indonesia;Atlet paralimpiade Indonesia berhasil meraih medali emas di kejuaraan renang internasional, meskipun memiliki keterbatasan fisik. Ia menunjukkan semangat juang yang luar biasa dan menginspirasi banyak orang;Luar biasa! Semangat juangmu menginspirasi banyak orang, salut banget! 💪🏅
Tulis komentar negatif tentang kualitas layanan kesehatan yang sangat buruk di puskesmas;Pasien mengeluh tentang antrean yang sangat panjang di puskesmas, staf yang tidak ramah, dan kurangnya obat-obatan esensial. Ia merasa pelayanan di fasilitas kesehatan publik masih jauh dari memadai;Pelayanan puskesmas kok makin gak manusiawi ya? Antrean panjang, stafnya jutek! 😠
Berikan komentar netral pada postingan pengumuman hasil ujian masuk perguruan tinggi;Universitas negeri mengumumkan daftar nama-nama yang lolos seleksi ujian masuk tahun ini. Pengumuman ini hanya berisi daftar nama tanpa detail nilai. Peserta bisa mengecek status mereka melalui portal resmi;Pengumuman ujian masuknya udah keluar, selamat buat yang lolos!
Buat komentar positif untuk seniman jalanan yang melukis potret dengan sangat detail;Video seorang seniman jalanan melukis potret wajah orang asing di taman kota. Setiap detail ekspresi dan fitur wajah digambar dengan sangat akurat dan mirip aslinya. Hasil karyanya membuat takjub penonton;Gila! Lukisan potretnya mirip banget aslinya, seniman ini jenius! 🎨✨
Tulis komentar negatif terhadap politikus yang suka pamer kekayaan di tengah krisis;Seorang anggota DPR memposting foto liburan mewah di luar negeri dengan jet pribadi, padahal negara sedang mengalami krisis ekonomi dan banyak rakyat kesulitan. Hal ini menimbulkan kemarahan publik;Enak banget ya hidup pejabat ini, rakyat susah dia malah foya-foya! 😒💸
Berikan komentar netral pada postingan tentang tips merawat kucing peliharaan;Seorang dokter hewan membagikan tips dasar merawat kucing peliharaan, termasuk jadwal vaksinasi, jenis makanan yang cocok, dan tanda-tanda kucing sakit. Tips ini berguna bagi pemilik kucing baru;Tips merawat kucingnya lumayan berguna, biar anabul sehat terus.
Buat komentar positif untuk inovasi di bidang energi terbarukan berupa panel surya terapung;Perusahaan energi startup berhasil mengembangkan panel surya yang bisa terapung di permukaan air dan menghasilkan listrik lebih efisien. Inovasi ini cocok diterapkan di danau atau waduk besar;Keren banget! Panel surya terapung, ide brilian buat masa depan energi bersih! ☀️💡
Tulis komentar negatif tentang tayangan film yang memiliki alur cerita tidak jelas dan membosankan;Ulasan film drama terbaru yang disebut-sebut punya alur cerita yang sangat membingungkan, banyak adegan tidak penting, dan dialog yang hambar. Penonton merasa sangat bosan saat menonton film ini;Filmnya gak jelas banget alurnya, bikin ngantuk parah! 😴👎
Berikan komentar netral pada postingan tentang rekomendasi kafe dengan live music;Seorang pecinta musik membagikan daftar 5 kafe di kota yang menyediakan live music dengan genre beragam setiap malam. Setiap kafe dilengkapi informasi jadwal dan jenis musiknya;Rekomendasi kafe live musicnya lumayan banyak, bisa jadi ide nongkrong seru.
Buat komentar positif untuk inisiatif komunitas dalam membantu korban bencana alam;Komunitas sosial mengadakan program pembangunan kembali rumah-rumah warga yang hancur akibat gempa bumi. Banyak relawan terlibat dalam membantu proses pembangunan. Inisiatif ini sangat mulia dan nyata;Salut banget sama gerakan ini, sangat membantu korban bencana! 💪🏠
Tulis komentar negatif terhadap berita yang mengandung unsur SARA dan intoleransi;Sebuah portal berita online mempublikasikan artikel yang berisi narasi yang menyudutkan salah satu kelompok etnis di Indonesia, memicu kebencian dan perpecahan di masyarakat. Artikel ini jelas-jelas melanggar hukum dan etika;Berita kayak gini harusnya langsung diblokir, cuma nyebar kebencian SARA! 🤬
Berikan komentar netral pada postingan tentang jadwal konser musik rock;Promotor konser musik rock mengumumkan jadwal tur konser band legendaris di beberapa kota besar. Pengumuman ini mencakup tanggal, lokasi, dan harga tiket. Informasi penting bagi penggemar musik rock;Jadwal konser rocknya udah keluar ya, siap-siap war tiket!
Buat komentar positif untuk seorang ilmuwan muda yang menemukan obat baru;Seorang ilmuwan muda asal Indonesia berhasil menemukan senyawa obat baru yang berpotensi menyembuhkan penyakit langka. Penemuan ini diharapkan bisa menyelamatkan banyak nyawa dan menjadi kebanggaan bangsa;Gila, keren banget! Penemuan ini bikin harapan baru buat penyakit langka! 🔬✨
Tulis komentar negatif tentang harga tiket masuk tempat wisata yang terlalu mahal;Wisatawan mengeluh tentang harga tiket masuk sebuah tempat wisata populer yang sangat mahal, tidak sebanding dengan fasilitas yang ditawarkan. Mereka merasa dirugikan dan enggan berkunjung lagi;Harga tiketnya gak masuk akal, udah mahal fasilitasnya biasa aja! 👎💸
Berikan komentar netral pada postingan tentang rekomendasi drama Korea terbaru;Seorang penggemar drama Korea membagikan daftar 5 drama Korea terbaru yang wajib ditonton karena alurnya yang menarik dan akting para pemainnya yang memukau. Setiap drama dilengkapi sinopsis singkat;Rekomendasi drakornya lumayan banyak, bisa jadi tontonan marathon weekend.
Buat komentar positif untuk inisiatif sekolah dalam mempromosikan kebersihan lingkungan;Sekolah mengadakan program 'Gerakan Sampah Jadi Berkah' di mana siswa diajarkan cara memilah sampah dan mengolahnya menjadi pupuk kompos. Inisiatif ini menumbuhkan kesadaran lingkungan dan kreativitas siswa;Program sekolah ini keren banget, ngajarin anak-anak peduli lingkungan! 🌱🗑️
Tulis komentar negatif terhadap berita yang mengandung unsur fitnah dan tidak berdasar;Sebuah portal berita online mempublikasikan artikel yang berisi tuduhan fitnah terhadap seorang tokoh agama tanpa bukti yang jelas, mengklaim tokoh tersebut terlibat dalam skandal besar. Artikel tersebut merusak reputasi tokoh agama;Ini berita cuma fitnah doang! Jangan gampang percaya sama info gak jelas!
Berikan komentar netral pada postingan tentang fakta-fakta unik tentang hewan purba;Sebuah akun edukasi memposting infografis yang menjelaskan fakta-fakta unik tentang beberapa hewan purba, seperti dinosaurus, mammoth, dan megalodon. Informasi disajikan secara ringkas dan menarik;Fakta-fakta hewan purbanya lumayan menarik, jadi tahu banyak hal baru.
Buat komentar positif untuk inovasi di bidang pertanian yang ramah lingkungan dan efisien;Petani lokal mengembangkan sistem pertanian vertikal hidroponik yang menggunakan lahan sempit namun menghasilkan panen berlimpah dengan konsumsi air minimal. Inovasi ini sangat menjanjikan untuk ketahanan pangan;Inovasi pertaniannya keren banget, ramah lingkungan dan hasilnya melimpah! 🌾 hydroponik
Tulis komentar negatif tentang praktik penipuan online yang marak berkedok hadiah;Seseorang memposting pengalaman buruknya menjadi korban penipuan online yang menjanjikan hadiah mobil mewah, namun akhirnya uangnya terkuras habis. Ia berharap orang lain lebih berhati-hati dan tidak mudah percaya;Penipuan berkedok hadiah makin banyak, hati-hati jangan sampai jadi korban! 🚫 scam
Berikan komentar netral pada postingan tentang rekomendasi buku non-fiksi inspiratif;Seorang pembaca buku membagikan daftar 5 buku non-fiksi yang sangat ia rekomendasikan untuk meningkatkan wawasan dan motivasi hidup. Setiap buku dilengkapi sinopsis singkat dan alasannya direkomendasikan;Rekomendasi buku non-fiksinya lumayan banyak, bisa jadi bacaan inspiratif.
Buat komentar positif untuk program beasiswa bagi anak-anak yatim piatu;Yayasan sosial meluncurkan program beasiswa pendidikan penuh bagi anak-anak yatim piatu dari keluarga tidak mampu. Beasiswa ini mencakup seluruh biaya sekolah dan kebutuhan belajar. Program ini memberikan harapan baru bagi mereka;Program beasiswa ini mulia banget, semoga berkah dan bantu banyak anak! 🙏📚
Tulis komentar negatif terhadap berita yang mengandung unsur diskriminasi gender;Sebuah media online mempublikasikan artikel yang berisi narasi yang merendahkan laki-laki, mengklaim bahwa laki-laki tidak memiliki empati yang cukup. Artikel ini memicu kemarahan publik karena diskriminatif;Berita kayak gini kok diskriminatif banget? Gak ada yang namanya gender yang lebih baik! 🙅‍♂️
Berikan komentar netral pada postingan tentang hasil penelitian tentang diet rendah karbohidrat;Jurnal ilmiah mempublikasikan ringkasan hasil penelitian terbaru tentang dampak diet rendah karbohidrat terhadap penurunan berat badan dan kesehatan metabolik. Hasilnya menunjukkan korelasi positif. Informasi bersifat ilmiah;Riset diet rendah karbohidratnya menarik, bisa jadi pertimbangan buat gaya hidup sehat.
Buat komentar positif untuk inovasi di bidang transportasi umum yang ramah lingkungan;Pemerintah kota meluncurkan angkutan umum bertenaga listrik yang beroperasi di jalur khusus. Inovasi ini diharapkan bisa mengurangi polusi udara dan meningkatkan kualitas transportasi publik di perkotaan;Keren banget! Transportasi umum listrik, bikin kota lebih bersih dan nyaman! 🚌⚡
Tulis komentar negatif terhadap tayangan iklan produk yang mengandung klaim palsu dan berlebihan;Iklan suplemen peninggi badan yang mengklaim bisa menambah tinggi badan secara instan dalam seminggu, padahal produk tersebut belum teruji klinis dan tidak ada bukti ilmiahnya. Iklan ini sangat menyesatkan dan berbahaya;Iklan penipu! Gak usah percaya sama klaim yang gak masuk akal kayak gini! 👎
Berikan komentar netral pada postingan tentang rekomendasi museum sejarah;Seorang pegiat sejarah membagikan daftar 5 museum sejarah terbaik di Indonesia yang wajib dikunjungi karena koleksinya lengkap dan edukatif. Setiap museum dilengkapi informasi tentang koleksi unggulan dan fasilitasnya;Rekomendasi museum sejarahnya lumayan banyak, bisa jadi ide edukasi liburan.
Buat komentar positif untuk upaya pemulihan ekosistem hutan yang rusak;Komunitas pecinta alam bersama pemerintah melakukan penanaman kembali ribuan bibit pohon di area hutan yang gundul akibat illegal logging. Upaya ini bertujuan untuk mengembalikan fungsi hutan sebagai paru-paru bumi;Salut banget sama upaya reboisasinya, penting buat bumi kita! 🌳❤️
Berikan komentar netral pada postingan tentang tips mengelola stres kerja;Seorang psikolog membagikan tips sederhana mengelola stres kerja, seperti teknik pernapasan, meditasi singkat, dan membagi waktu istirahat. Tips ini praktis dan bisa diterapkan di kantor;Tips mengelola stres kerjanya lumayan berguna, biar gak gampang burnout.
Buat komentar positif untuk karya seni ilustrasi digital yang detail dan penuh makna;Ilustrasi digital seorang seniman muda menampilkan pemandangan kota futuristik dengan detail yang sangat rumit dan penuh warna, menyampaikan pesan tentang harapan dan kemajuan. Karya ini sangat mengagumkan;Gila! Ilustrasinya detail banget, bikin takjub! 🎨✨
Tulis komentar negatif terhadap politikus yang suka ingkar janji kampanye;Berita tentang seorang anggota DPRD yang tidak menepati janji kampanye untuk membangun fasilitas umum di daerahnya, padahal sudah berbulan-bulan terpilih. Masyarakat merasa kecewa dan tertipu;Janji manis doang pas kampanye, pas udah jadi malah lupa sama rakyat! 🙄
Berikan komentar netral pada postingan tentang jadwal pendaftaran kuliah jalur mandiri;Universitas negeri mengumumkan jadwal pendaftaran kuliah jalur mandiri untuk program sarjana. Informasi ini mencakup persyaratan umum dan tahapan seleksi. Penting bagi calon mahasiswa;Info jalur mandiri ya, lumayan buat yang mau coba peruntungan.
Buat komentar positif untuk inisiatif komunitas dalam mengedukasi masyarakat tentang kesehatan;Komunitas kesehatan mengadakan seminar gratis tentang pentingnya deteksi dini penyakit jantung dan cara mencegahnya. Mereka mengundang dokter spesialis untuk berbagi informasi. Inisiatif ini sangat penting untuk kesehatan publik;Penting banget seminar kayak gini, edukasi kesehatan itu nomor satu! ❤️🩺
Tulis komentar negatif terhadap tayangan reality show yang mengeksploitasi penderitaan hewan;Sebuah reality show menampilkan adegan yang tidak etis terhadap hewan, seperti mengurung hewan liar di kandang sempit atau memaksanya melakukan trik berbahaya. Banyak penonton yang mengecam tayangan ini karena dianggap tidak manusiawi;Reality show ini kok jahat banget sama hewan? Gak manusiawi! Stop eksploitasi hewan!
Berikan komentar netral pada postingan tentang rekomendasi lagu indie;Seorang pecinta musik indie membagikan daftar 5 lagu indie yang wajib didengarkan karena liriknya puitis dan melodinya menenangkan. Setiap lagu dilengkapi alasan mengapa lagu tersebut direkomendasikan;Rekomendasi lagu indie-nya lumayan banyak, bisa jadi teman santai.
Buat komentar positif untuk upaya konservasi hewan laut langka seperti lumba-lumba;Organisasi konservasi laut berhasil menyelamatkan seekor lumba-lumba yang terdampar di pantai dan mengembalikan ke habitat aslinya setelah dirawat. Lumba-lumba adalah spesies yang dilindungi. Aksi ini sangat berarti;Terharu banget! Lumba-lumba itu kan langka, salut sama tim penyelamat! 🐬💙
Tulis komentar negatif terhadap layanan pengiriman barang yang sering hilang;Seseorang memposting keluhan tentang paketnya yang sering hilang saat dikirim melalui ekspedisi tertentu, dan tidak ada ganti rugi yang jelas. Ia merasa sangat dirugikan dan tidak akan menggunakan layanan itu lagi;Ekspedisi ini sering banget ngilangin paket, bikin rugi parah! 😤📦
Berikan komentar netral pada postingan tentang tips membersihkan perhiasan emas;Seorang ahli perhiasan membagikan tips sederhana tentang cara membersihkan perhiasan emas di rumah agar tetap berkilau, termasuk bahan-bahan yang aman digunakan. Tips ini praktis dan bisa dicoba;Tips membersihkan perhiasan emasnya lumayan berguna, biar kinclong lagi.
Buat komentar positif untuk seniman musik jalanan yang memiliki suara merdu;Video seorang musisi jalanan menyanyikan lagu dengan suara yang sangat merdu di tengah keramaian kota. Banyak orang berhenti untuk mendengarkan dan mengapresiasi bakatnya yang luar biasa;Suaranya merdu banget, bikin merinding! Seniman jalanan ini keren parah! 🎤🎶
Tulis komentar negatif terhadap kebijakan pemerintah yang tidak transparan dan membingungkan;Masyarakat mengeluhkan kebijakan pemerintah yang tiba-tiba diubah tanpa adanya sosialisasi atau penjelasan yang memadai, sehingga menimbulkan kebingungan dan ketidakpastian di kalangan publik. Mereka menuntut transparansi;Kebijakan pemerintah kok gak jelas dan bikin bingung rakyat? Transparansi itu penting!
Berikan komentar netral pada postingan tentang daftar rekomendasi podcast horor;Seorang penggemar podcast horor membagikan daftar 5 podcast horor terbaik yang wajib didengarkan untuk pengalaman yang menegangkan. Setiap podcast dilengkapi sinopsis singkat dan alasannya direkomendasikan;Rekomendasi podcast horornya lumayan banyak, bikin merinding penasaran!
Buat komentar positif untuk program beasiswa bagi mahasiswa berprestasi dari keluarga tidak mampu;Universitas swasta ternama meluncurkan program beasiswa penuh bagi mahasiswa berprestasi dari keluarga tidak mampu, mencakup seluruh biaya kuliah dan biaya hidup. Program ini memberikan kesempatan emas bagi mereka;Program beasiswa ini mulia banget, bantu mahasiswa meraih mimpi! 🎓🌟
Tulis komentar negatif terhadap tayangan iklan produk yang mengandung klaim palsu dan menipu;Iklan alat fitness yang mengklaim bisa membentuk otot perut instan dalam 10 menit tanpa olahraga, padahal produk tersebut tidak efektif dan hanya menipu konsumen. Iklan ini sangat menyesatkan;Iklan penipu! Jangan percaya sama klaim instan kayak gini, bohong banget! 🤥
Berikan komentar netral pada postingan tentang tips aman menggunakan media sosial;Seorang pakar keamanan siber membagikan tips aman menggunakan media sosial, seperti menjaga privasi, tidak mudah percaya pada link asing, dan melaporkan akun palsu. Tips ini sangat berguna bagi pengguna;Tips aman medsosnya penting banget, biar gak jadi korban kejahatan siber.
Buat komentar positif untuk upaya komunitas dalam membantu korban kebakaran;Komunitas sosial mengadakan penggalangan dana dan bantuan logistik untuk korban kebakaran di pemukiman padat. Banyak relawan terlibat dalam menyalurkan bantuan dan memberikan dukungan moral. Inisiatif ini sangat berarti;Salut banget sama gerakan ini, sangat membantu korban kebakaran! 🙏🔥
Tulis komentar negatif terhadap berita yang mengandung unsur diskriminasi usia;Sebuah media online mempublikasikan artikel yang berisi narasi yang merendahkan pekerja berusia lanjut, mengklaim mereka kurang produktif dan tidak relevan di era digital. Artikel ini memicu kemarahan publik;Berita kayak gini diskriminatif banget! Usia bukan penghalang buat produktif! 😤
Berikan komentar netral pada postingan tentang rekomendasi film thriller politik;Seorang penikmat film membagikan daftar 5 film thriller politik terbaik yang wajib ditonton karena alurnya cerdas dan bikin mikir. Setiap film dilengkapi sinopsis singkat;Rekomendasi film thriller politiknya lumayan banyak, bikin penasaran sama konspirasinya.
Buatkan komentar positif untuk foto seseorang yang baru saja menyelesaikan lari maraton pertamanya;Foto seorang pelari amatir di garis finish maraton, terlihat sangat lelah tapi dengan senyum bangga dan medali di lehernya. Captionnya bercerita tentang perjuangan latihan selama berbulan-bulan dan rasa haru bisa menyelesaikan tantangan ini;Keren banget! Selamat ya buat maraton pertamanya, pasti bangga banget! 💪🏃‍♀️
Tulis komentar negatif terhadap berita yang mengandung unsur provokasi dan hoaks tentang politik;Sebuah akun berita anonim di media sosial memposting informasi palsu tentang seorang kandidat presiden yang dituduh melakukan pelanggaran berat, bertujuan untuk menjatuhkan reputasi dan memengaruhi opini publik menjelang pemilu. Berita ini tidak berdasar fakta;Berita hoax lagi, jangan mau diadu domba sama info gak jelas politik! 😡🗳️
Berikan komentar netral pada postingan tentang rekomendasi aplikasi keuangan pribadi;Seorang pakar keuangan membagikan daftar 5 aplikasi terbaik untuk mengelola keuangan pribadi, seperti budgeting, investasi, dan pelacakan pengeluaran. Setiap aplikasi dilengkapi fitur unggulan dan kelebihannya;Rekomendasi aplikasi keuangan pribadinya lumayan banyak ya, bisa bantu atur duit.
Buat komentar positif untuk tim basket sekolah yang memenangkan kompetisi tingkat nasional;Tim basket SMA dari Bandung berhasil menjuarai kompetisi basket tingkat nasional setelah mengalahkan tim-tim kuat dari seluruh Indonesia. Mereka menunjukkan kerja sama tim yang solid dan skill yang luar biasa;Gila! Juara nasional! Keren banget tim basketnya! Selamat ya! 🏆🏀
Tulis komentar negatif tentang kualitas jalanan di perumahan yang rusak parah dan tidak diperbaiki;Warga memposting video kondisi jalanan di perumahan mereka yang penuh lubang besar, becek, dan sering menyebabkan kecelakaan motor. Kondisi ini sudah dikeluhkan berkali-kali ke developer namun tidak ada perbaikan;Jalanan perumahan kok dibiarin rusak parah gini? Bahaya banget! 😤🚧
Berikan komentar netral pada postingan pengumuman hasil seleksi masuk BUMN;Kementerian BUMN mengumumkan daftar nama-nama yang lolos seleksi tahap akhir untuk program rekrutmen bersama BUMN tahun ini. Pengumuman ini hanya berisi daftar nama. Peserta bisa mengecek status mereka melalui portal resmi;Pengumuman hasil seleksi BUMN udah keluar, selamat buat yang lolos!
Buat komentar positif untuk seniman jalanan yang melukis pemandangan kota yang hidup;Seorang seniman jalanan melukis mural besar di dinding kota yang menggambarkan suasana hiruk pikuk kota dengan detail yang hidup, termasuk orang-orang berlalu lalang dan gedung-gedung tinggi. Hasil karyanya sangat realistis dan menarik perhatian;Wow, keren banget muralnya! Kota jadi hidup di tangan seniman ini! 🎨🏙️
Tulis komentar negatif terhadap politikus yang suka ingkar janji kampanye tentang pendidikan;Seorang kepala daerah yang baru terpilih tidak menepati janji kampanye untuk meningkatkan kualitas pendidikan dan memberikan beasiswa bagi siswa berprestasi. Masyarakat merasa kecewa karena janji tersebut hanya isapan jempol;Janji manis doang pas kampanye, pendidikan anak bangsa kok gak diurus! 😒📚
Berikan komentar netral pada postingan tentang tips merawat tanaman hias di pot;Seorang pecinta tanaman membagikan tips dasar merawat tanaman hias di dalam pot, termasuk jenis tanah yang cocok, frekuensi penyiraman, dan pemupukan. Tips ini berguna bagi pemula yang ingin mulai berkebun;Tips merawat tanaman di potnya lumayan berguna, biar gak gampang layu.
