instruction,input,output
Tolong buat komentar positif untuk postingan foto teman saya yang baru saja melahirkan.,"Foto bayi baru lahir yang lucu dan menggemaskan, dengan wajah mungil dan mata yang terpejam, diiringi dengan senyum bahagia dari sang ibu yang baru saja melahirkan.","Selamat ya! Bayinya lucu banget, mirip sama kamu! 😊 Semoga sehat selalu dan bahagia bersama keluarga baru. 💕"
Buat komentar yang menyenangkan untuk postingan video lucu tentang kucing.,"Seekor kucing kecil berbulu putih sedang bermain dengan seutas benang, melompat-lompat dan menggelitiki dengan ekornya yang panjang dan lembut.",Hahaaha kucingnya lucu banget! 😂 kayaknya dia lagi latihan jadi penari balet 🐱💃
"Saya ingin memberikan komentar yang baik untuk postingan artikel tentang kesehatan mental, tolong buatkan.","Artikel ini membahas tentang pentingnya menjaga kesehatan mental di tengah kesibukan sehari-hari. Dengan gaya penulisan yang santai dan mudah dipahami, artikel ini menawarkan tips dan trik sederhana untuk mengurangi stres dan meningkatkan keseimbangan mental.",Artikel yang sangat bermanfaat! Terima kasih sudah berbagi tips dan trik untuk menjaga kesehatan mental. Sangat penting untuk kita semua ingat bahwa kesehatan mental sama pentingnya dengan kesehatan fisik. Mari kita jaga kesehatan mental kita dengan baik! 💆‍♀️🙏
Tolong buat komentar yang menyemangati untuk postingan foto seseorang yang baru saja lulus kuliah.,"Foto seorang muda berpakaian toga wisuda dengan senyum bangga dan tangan memegang ijazah, berlatar belakang gedung kampus yang megah.",Selamat ya! Akhirnya kelar juga! Bangga banget sama kamu yang udah berhasil melewati semua tantangan di kampus. Semoga ilmunya bermanfaat dan masa depanmu cerah! 🎓💫
Buat komentar yang sopan dan positif untuk postingan foto makanan yang lezat.,"Foto makanan yang lezat ini menampilkan hidangan sushi yang segar dan menarik, dengan warna-warna cerah dan tekstur yang menggugah selera. Sushi yang dihiasi dengan sayuran segar dan saus yang lezat ini tampak sangat menggugah selera dan membuat Anda ingin mencicipinya.","""Wah, sushi ini keliatannya lezat banget! Warnanya cerah, teksturnya pas, dan hiasannya keren. Jadi pengen nyobain!"" 🤤🍣"
Tolong buat komentar negatif untuk postingan foto makanan yang tidak enak.,Foto makanan yang terlihat kurang menggugah selera dengan warna yang tidak menarik dan tekstur yang tidak mengundang.,"""Gak enak banget kayaknya, warnanya aja udah gak menggugah selera. Teksturnya juga kayaknya keras gitu"""
Buat komentar yang tidak menyukai postingan video musik baru yang kurang bagus.,"Video musik terbaru dari penyanyi populer yang baru saja dirilis, menampilkan gaya musik yang berbeda dari biasanya dengan lirik yang kurang bermakna dan aransemen yang kurang menarik.","""Menurutku, lagu ini kurang nendang dibandingkan sama lagu-lagu sebelumnya. Liriknya kurang bermakna dan aransemennya kurang menarik. Semoga kembali ke gaya musik yang dulu lagi."" 🤔"
Saya ingin komentar yang mengekspresikan kekecewaan saya terhadap postingan berita politik yang tidak akurat.,"Sebuah postingan berita politik yang memuat informasi tidak akurat tentang kinerja pemerintah saat ini, menyebutkan bahwa pemerintah telah berhasil menyelesaikan proyek infrastruktur besar dalam waktu singkat, padahal faktanya proyek tersebut masih terhambat dan belum selesai.","""Kok bisa sih beritanya nggak akurat gini? Proyek infrastruktur itu masih aja terhambat, mana bisa dibilang udah selesai? Jangan bikin masyarakat bingung dengan informasi yang nggak jelas kayak gini 🙄"""
Tolong buat komentar singkat yang menunjukkan ketidaksetujuan saya terhadap postingan opini yang tidak masuk akal.,"Seorang influencer terkenal membagikan pendapatnya bahwa makanan cepat saji lebih sehat daripada makanan rumahan, dengan alasan bahwa makanan cepat saji telah melalui proses pengolahan yang lebih ketat dan terjamin kebersihannya. Postingan tersebut disertai dengan foto-foto makanan cepat saji yang menarik dan dikemas dengan baik, serta beberapa kalimat yang menekankan pada kenyamanan dan kepraktisan makanan cepat saji.","""Kok bisa gitu? Makanan cepat saji kan penuh MSG sama pengawet? Ga mungkin lebih sehat dari makanan rumahan yang dimasak dengan bahan alami dan penuh kasih sayang 🤔"""
Buat komentar yang mengekspresikan kesal saya terhadap postingan iklan yang menipu.,"Iklan produk kecantikan yang menjanjikan hasil instan dan tidak masuk akal, dengan foto-foto model yang terlalu sempurna dan tidak realistis, serta testimonial yang terdengar dibuat-buat.","""Gak usah bohong deh, mana ada hasil instan kayak gitu? Modelnya aja udah kayak boneka, jauh dari kenyataan. Testimoni palsu pula. Jangan nipu orang aja deh."" 😒"
